fire_cell_quad,fire,cell,quad,tree_pix,dead_tree_pix,tree_cover,mort_cover,tree_cat,dead_cat,eco2,tvt
camp_1637_4,camp,1637,4,6999,3296,0.42718505859375,0.4709,30-70,30-70,Sierra Nevada,train
monument_2687_0,monument,2687,0,11338,11338,0.6920166015625,1.0,30-70,70-100,North Coast and Mountains,train
monument_2687_1,monument,2687,1,14845,14738,0.90606689453125,0.9928,70-100,70-100,North Coast and Mountains,train
monument_2687_4,monument,2687,4,15139,15139,0.92401123046875,1.0,70-100,70-100,North Coast and Mountains,train
alisal_146_0,alisal,146,0,8,8,0.00048828125,1.0,0-30,70-100,South Coast and Mountains,train
alisal_146_1,alisal,146,1,136,37,0.00830078125,0.2721,0-30,0-30,South Coast and Mountains,train
alisal_146_3,alisal,146,3,39,39,0.00238037109375,1.0,0-30,70-100,South Coast and Mountains,train
ranch_2569_0,ranch,2569,0,10831,10704,0.66107177734375,0.9883,30-70,70-100,North Coast and Mountains,train
ranch_2569_1,ranch,2569,1,10675,9970,0.65155029296875,0.934,30-70,70-100,North Coast and Mountains,train
ranch_2569_3,ranch,2569,3,12901,12901,0.78741455078125,1.0,70-100,70-100,North Coast and Mountains,train
ranch_2569_4,ranch,2569,4,13771,13771,0.84051513671875,1.0,70-100,70-100,North Coast and Mountains,train
bobcat_291_1,bobcat,291,1,15254,1183,0.9310302734375,0.0776,70-100,0-30,South Coast and Mountains,train
northcomplex_1072_0,northcomplex,1072,0,13925,13861,0.84991455078125,0.9954,70-100,70-100,Sierra Nevada,train
northcomplex_1072_1,northcomplex,1072,1,12721,12721,0.77642822265625,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_1072_3,northcomplex,1072,3,15066,15066,0.9195556640625,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_1072_4,northcomplex,1072,4,13275,13275,0.81024169921875,1.0,70-100,70-100,Sierra Nevada,train
camp_1385_1,camp,1385,1,7337,6336,0.44781494140625,0.8636,30-70,70-100,Sierra Nevada,train
camp_1385_3,camp,1385,3,7284,4353,0.444580078125,0.5976,30-70,30-70,Sierra Nevada,train
camp_1385_4,camp,1385,4,9420,7583,0.574951171875,0.805,30-70,70-100,Sierra Nevada,train
ranch_2031_1,ranch,2031,1,2476,896,0.151123046875,0.3619,0-30,30-70,Central Foothills,train
ranch_2031_3,ranch,2031,3,1489,270,0.09088134765625,0.1813,0-30,0-30,Central Foothills,train
ranch_2031_4,ranch,2031,4,1521,1521,0.09283447265625,1.0,0-30,70-100,Central Foothills,train
caldor_2923_0,caldor,2923,0,9041,1092,0.55181884765625,0.1208,30-70,0-30,Sierra Nevada,train
caldor_2923_1,caldor,2923,1,5260,781,0.321044921875,0.1485,30-70,0-30,Sierra Nevada,train
caldor_2923_3,caldor,2923,3,6866,294,0.4190673828125,0.0428,30-70,0-30,Sierra Nevada,train
caldor_2923_4,caldor,2923,4,6556,333,0.400146484375,0.0508,30-70,0-30,Sierra Nevada,train
northcomplex_3275_0,northcomplex,3275,0,11902,11902,0.7264404296875,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_3275_1,northcomplex,3275,1,13850,13850,0.8453369140625,1.0,70-100,70-100,Sierra Nevada,train
ranch_3065_1,ranch,3065,1,4468,4298,0.272705078125,0.962,0-30,70-100,Central Foothills,train
ranch_3065_4,ranch,3065,4,971,904,0.05926513671875,0.931,0-30,70-100,Central Foothills,train
czulight_532_0,czulight,532,0,2220,2220,0.135498046875,1.0,0-30,70-100,North Coast and Mountains,train
czulight_532_3,czulight,532,3,10437,10437,0.63702392578125,1.0,30-70,70-100,North Coast and Mountains,train
czulight_532_4,czulight,532,4,3637,3637,0.22198486328125,1.0,0-30,70-100,North Coast and Mountains,train
ranch_1879_4,ranch,1879,4,8504,2644,0.51904296875,0.3109,30-70,30-70,North Coast and Mountains,train
camp_1550_0,camp,1550,0,12026,223,0.7340087890625,0.0185,70-100,0-30,Sierra Nevada,train
camp_1550_1,camp,1550,1,11794,2573,0.7198486328125,0.2182,70-100,0-30,Sierra Nevada,train
camp_1550_3,camp,1550,3,12862,1658,0.7850341796875,0.1289,70-100,0-30,Sierra Nevada,train
camp_1550_4,camp,1550,4,11912,2044,0.72705078125,0.1716,70-100,0-30,Sierra Nevada,train
ranch_2021_0,ranch,2021,0,11697,4837,0.71392822265625,0.4135,70-100,30-70,North Coast and Mountains,train
ranch_2021_4,ranch,2021,4,13544,2823,0.82666015625,0.2084,70-100,0-30,North Coast and Mountains,train
dixie_411_0,dixie,411,0,7451,6272,0.45477294921875,0.8418,30-70,70-100,North Coast and Mountains,train
dixie_411_1,dixie,411,1,7493,7439,0.45733642578125,0.9928,30-70,70-100,North Coast and Mountains,train
dixie_411_4,dixie,411,4,7472,7102,0.4560546875,0.9505,30-70,70-100,North Coast and Mountains,train
camp_1168_4,camp,1168,4,15540,13273,0.948486328125,0.8541,70-100,70-100,Central Foothills,train
camp_1169_0,camp,1169,0,11391,9130,0.69525146484375,0.8015,30-70,70-100,Central Foothills,train
camp_1155_0,camp,1155,0,7093,2517,0.43292236328125,0.3549,30-70,30-70,Sierra Nevada,train
camp_1155_1,camp,1155,1,7980,2784,0.487060546875,0.3489,30-70,30-70,Sierra Nevada,train
camp_1155_3,camp,1155,3,2655,2428,0.16204833984375,0.9145,0-30,70-100,Sierra Nevada,train
camp_1155_4,camp,1155,4,3849,2324,0.23492431640625,0.6038,0-30,30-70,Sierra Nevada,train
camp_1343_0,camp,1343,0,13655,5200,0.83343505859375,0.3808,70-100,30-70,Sierra Nevada,train
camp_1343_1,camp,1343,1,9729,7826,0.59381103515625,0.8044,30-70,70-100,Sierra Nevada,train
camp_1343_3,camp,1343,3,5815,5154,0.35491943359375,0.8863,30-70,70-100,Sierra Nevada,train
camp_1343_4,camp,1343,4,5722,3102,0.3492431640625,0.5421,30-70,30-70,Sierra Nevada,train
czulight_669_3,czulight,669,3,5728,3208,0.349609375,0.5601,30-70,30-70,North Coast and Mountains,train
river_552_1,river,552,1,4400,723,0.2685546875,0.1643,0-30,0-30,Central Foothills,train
river_552_3,river,552,3,4259,810,0.25994873046875,0.1902,0-30,0-30,Central Foothills,train
river_552_4,river,552,4,2663,628,0.16253662109375,0.2358,0-30,0-30,Central Foothills,train
caldor_2715_1,caldor,2715,1,7963,7346,0.48602294921875,0.9225,30-70,70-100,Sierra Nevada,train
caldor_2715_3,caldor,2715,3,9521,9250,0.58111572265625,0.9715,30-70,70-100,Sierra Nevada,train
northcomplex_3270_0,northcomplex,3270,0,8574,4159,0.5233154296875,0.4851,30-70,30-70,Sierra Nevada,train
northcomplex_3270_1,northcomplex,3270,1,9889,8564,0.60357666015625,0.866,30-70,70-100,Sierra Nevada,train
northcomplex_3270_3,northcomplex,3270,3,12272,4493,0.7490234375,0.3661,70-100,30-70,Sierra Nevada,train
northcomplex_3270_4,northcomplex,3270,4,8960,5189,0.546875,0.5791,30-70,30-70,Sierra Nevada,train
ranch_1111_0,ranch,1111,0,11692,2483,0.713623046875,0.2124,70-100,0-30,North Coast and Mountains,train
ranch_1111_1,ranch,1111,1,12575,10236,0.76751708984375,0.814,70-100,70-100,North Coast and Mountains,train
ranch_1111_3,ranch,1111,3,12709,478,0.77569580078125,0.0376,70-100,0-30,North Coast and Mountains,train
ranch_1111_4,ranch,1111,4,12312,1542,0.75146484375,0.1252,70-100,0-30,North Coast and Mountains,train
camp_1037_0,camp,1037,0,8614,6163,0.5257568359375,0.7155,30-70,70-100,North Coast and Mountains,train
camp_1037_1,camp,1037,1,4050,3070,0.2471923828125,0.758,0-30,70-100,North Coast and Mountains,train
camp_1037_4,camp,1037,4,7895,7822,0.48187255859375,0.9908,30-70,70-100,North Coast and Mountains,train
camp_1590_0,camp,1590,0,954,0,0.0582275390625,0.0,0-30,0-30,Sierra Nevada,train
alisal_237_0,alisal,237,0,951,0,0.05804443359375,0.0,0-30,0-30,South Coast and Mountains,train
alisal_237_3,alisal,237,3,1748,0,0.106689453125,0.0,0-30,0-30,South Coast and Mountains,train
alisal_237_4,alisal,237,4,57,0,0.00347900390625,0.0,0-30,0-30,South Coast and Mountains,train
camp_1553_0,camp,1553,0,8866,8604,0.5411376953125,0.9704,30-70,70-100,Sierra Nevada,train
camp_1553_1,camp,1553,1,7354,6663,0.4488525390625,0.906,30-70,70-100,Sierra Nevada,train
camp_1553_3,camp,1553,3,5309,5309,0.32403564453125,1.0,30-70,70-100,Sierra Nevada,train
camp_1553_4,camp,1553,4,7547,7547,0.46063232421875,1.0,30-70,70-100,Sierra Nevada,train
eldorado_108_0,eldorado,108,0,0,0,0.0,0.0,0-30,0-30,South Coast and Mountains,train
eldorado_108_3,eldorado,108,3,182,148,0.0111083984375,0.8132,0-30,70-100,South Coast and Mountains,train
caldor_1356_0,caldor,1356,0,14786,5678,0.9024658203125,0.384,70-100,30-70,Sierra Nevada,train
caldor_1356_1,caldor,1356,1,12323,4550,0.75213623046875,0.3692,70-100,30-70,Sierra Nevada,train
caldor_1356_3,caldor,1356,3,13890,9334,0.8477783203125,0.672,70-100,30-70,Sierra Nevada,train
caldor_1356_4,caldor,1356,4,13251,4037,0.80877685546875,0.3047,70-100,30-70,Sierra Nevada,train
river_627_1,river,627,1,6469,2257,0.39483642578125,0.3489,30-70,30-70,Central Foothills,train
river_627_4,river,627,4,5046,515,0.3079833984375,0.1021,30-70,0-30,Central Foothills,train
alisal_154_3,alisal,154,3,15373,0,0.93829345703125,0.0,70-100,0-30,South Coast and Mountains,train
stone_325_0,stone,325,0,8918,2642,0.5443115234375,0.2963,30-70,0-30,North Coast and Mountains,train
stone_325_1,stone,325,1,9433,3463,0.57574462890625,0.3671,30-70,30-70,North Coast and Mountains,train
stone_325_3,stone,325,3,4221,2062,0.25762939453125,0.4885,0-30,30-70,North Coast and Mountains,train
stone_325_4,stone,325,4,3507,2117,0.21405029296875,0.6036,0-30,30-70,North Coast and Mountains,train
dixie_1908_0,dixie,1908,0,10366,8875,0.6326904296875,0.8562,30-70,70-100,North Coast and Mountains,train
dixie_1908_1,dixie,1908,1,6428,5999,0.392333984375,0.9333,30-70,70-100,North Coast and Mountains,train
dixie_1908_3,dixie,1908,3,8839,7292,0.53948974609375,0.825,30-70,70-100,North Coast and Mountains,train
dixie_1908_4,dixie,1908,4,4054,2930,0.2474365234375,0.7227,0-30,70-100,North Coast and Mountains,train
czulight_905_0,czulight,905,0,11785,3696,0.71929931640625,0.3136,70-100,30-70,North Coast and Mountains,train
czulight_905_1,czulight,905,1,14683,3802,0.89617919921875,0.2589,70-100,0-30,North Coast and Mountains,train
czulight_905_3,czulight,905,3,14062,2449,0.8582763671875,0.1742,70-100,0-30,North Coast and Mountains,train
czulight_905_4,czulight,905,4,13251,929,0.80877685546875,0.0701,70-100,0-30,North Coast and Mountains,train
ranch_2143_0,ranch,2143,0,3271,0,0.19964599609375,0.0,0-30,0-30,Central Foothills,train
ranch_2143_1,ranch,2143,1,12780,0,0.780029296875,0.0,70-100,0-30,Central Foothills,train
ranch_2143_3,ranch,2143,3,14872,0,0.90771484375,0.0,70-100,0-30,Central Foothills,train
ranch_2143_4,ranch,2143,4,11654,0,0.7113037109375,0.0,70-100,0-30,Central Foothills,train
slater_398_1,slater,398,1,10438,8535,0.6370849609375,0.8177,30-70,70-100,North Coast and Mountains,train
slater_398_3,slater,398,3,13041,13041,0.79595947265625,1.0,70-100,70-100,North Coast and Mountains,train
slater_398_4,slater,398,4,11875,11875,0.72479248046875,1.0,70-100,70-100,North Coast and Mountains,train
stone_236_0,stone,236,0,5103,2524,0.31146240234375,0.4946,30-70,30-70,North Coast and Mountains,train
stone_236_1,stone,236,1,6767,3675,0.41302490234375,0.5431,30-70,30-70,North Coast and Mountains,train
stone_236_3,stone,236,3,6647,5386,0.40570068359375,0.8103,30-70,70-100,North Coast and Mountains,train
stone_236_4,stone,236,4,4133,3475,0.25225830078125,0.8408,0-30,70-100,North Coast and Mountains,train
creek_3379_4,creek,3379,4,3595,2622,0.21942138671875,0.7293,0-30,70-100,Sierra Nevada,train
northcomplex_1832_0,northcomplex,1832,0,14946,107,0.9122314453125,0.0072,70-100,0-30,Sierra Nevada,train
northcomplex_1832_1,northcomplex,1832,1,12622,279,0.7703857421875,0.0221,70-100,0-30,Sierra Nevada,train
northcomplex_1832_3,northcomplex,1832,3,13297,216,0.81158447265625,0.0162,70-100,0-30,Sierra Nevada,train
northcomplex_1832_4,northcomplex,1832,4,13456,396,0.8212890625,0.0294,70-100,0-30,Sierra Nevada,train
camp_1284_0,camp,1284,0,10251,8818,0.62567138671875,0.8602,30-70,70-100,Sierra Nevada,train
camp_1284_1,camp,1284,1,6894,6870,0.4207763671875,0.9965,30-70,70-100,Sierra Nevada,train
camp_1284_3,camp,1284,3,15358,6453,0.9373779296875,0.4202,70-100,30-70,Sierra Nevada,train
camp_1284_4,camp,1284,4,13868,9225,0.846435546875,0.6652,70-100,30-70,Sierra Nevada,train
camp_1509_3,camp,1509,3,9781,9781,0.59698486328125,1.0,30-70,70-100,Sierra Nevada,train
camp_1509_4,camp,1509,4,8953,8953,0.54644775390625,1.0,30-70,70-100,Sierra Nevada,train
bobcat_569_0,bobcat,569,0,4313,2582,0.26324462890625,0.5987,0-30,30-70,South Coast and Mountains,train
bobcat_569_1,bobcat,569,1,5245,3175,0.32012939453125,0.6053,30-70,30-70,South Coast and Mountains,train
bobcat_569_3,bobcat,569,3,8565,7310,0.52276611328125,0.8535,30-70,70-100,South Coast and Mountains,train
bobcat_569_4,bobcat,569,4,15440,2631,0.9423828125,0.1704,70-100,0-30,South Coast and Mountains,train
caldor_2361_0,caldor,2361,0,6972,649,0.425537109375,0.0931,30-70,0-30,Sierra Nevada,train
caldor_2361_1,caldor,2361,1,8568,394,0.52294921875,0.046,30-70,0-30,Sierra Nevada,train
caldor_2361_3,caldor,2361,3,5791,3824,0.35345458984375,0.6603,30-70,30-70,Sierra Nevada,train
caldor_2361_4,caldor,2361,4,7593,1198,0.46343994140625,0.1578,30-70,0-30,Sierra Nevada,train
northcomplex_1563_0,northcomplex,1563,0,14680,2744,0.89599609375,0.1869,70-100,0-30,Sierra Nevada,train
northcomplex_1563_1,northcomplex,1563,1,13686,1608,0.8353271484375,0.1175,70-100,0-30,Sierra Nevada,train
camp_1125_1,camp,1125,1,8917,6210,0.54425048828125,0.6964,30-70,30-70,Central Foothills,train
camp_1643_0,camp,1643,0,14983,8773,0.91448974609375,0.5855,70-100,30-70,Sierra Nevada,train
camp_1643_1,camp,1643,1,15370,7139,0.9381103515625,0.4645,70-100,30-70,Sierra Nevada,train
northcomplex_2724_0,northcomplex,2724,0,16077,1014,0.98126220703125,0.0631,70-100,0-30,Sierra Nevada,train
northcomplex_2724_1,northcomplex,2724,1,16152,310,0.98583984375,0.0192,70-100,0-30,Sierra Nevada,train
northcomplex_2724_3,northcomplex,2724,3,15984,1896,0.9755859375,0.1186,70-100,0-30,Sierra Nevada,train
river_655_0,river,655,0,4047,0,0.24700927734375,0.0,0-30,0-30,Central Foothills,train
river_655_1,river,655,1,3987,64,0.24334716796875,0.0161,0-30,0-30,Central Foothills,train
river_655_3,river,655,3,1830,56,0.1116943359375,0.0306,0-30,0-30,Central Foothills,train
river_655_4,river,655,4,696,108,0.04248046875,0.1552,0-30,0-30,Central Foothills,train
caldor_1655_1,caldor,1655,1,10957,10,0.66876220703125,0.0009,30-70,0-30,Sierra Nevada,train
caldor_1655_3,caldor,1655,3,9429,33,0.57550048828125,0.0035,30-70,0-30,Sierra Nevada,train
camp_1859_0,camp,1859,0,14204,14175,0.866943359375,0.998,70-100,70-100,Sierra Nevada,train
camp_1859_4,camp,1859,4,14388,13750,0.878173828125,0.9557,70-100,70-100,Sierra Nevada,train
alisal_126_1,alisal,126,1,2095,1839,0.12786865234375,0.8778,0-30,70-100,South Coast and Mountains,train
alisal_126_4,alisal,126,4,2968,2456,0.18115234375,0.8275,0-30,70-100,South Coast and Mountains,train
czulight_803_0,czulight,803,0,15332,13,0.935791015625,0.0008,70-100,0-30,North Coast and Mountains,train
czulight_803_1,czulight,803,1,15691,0,0.95770263671875,0.0,70-100,0-30,North Coast and Mountains,train
czulight_803_3,czulight,803,3,14727,153,0.89886474609375,0.0104,70-100,0-30,North Coast and Mountains,train
czulight_803_4,czulight,803,4,15375,27,0.93841552734375,0.0018,70-100,0-30,North Coast and Mountains,train
czulight_817_0,czulight,817,0,14998,64,0.9154052734375,0.0043,70-100,0-30,North Coast and Mountains,train
czulight_817_1,czulight,817,1,7381,14,0.45050048828125,0.0019,30-70,0-30,North Coast and Mountains,train
czulight_817_3,czulight,817,3,9661,102,0.58966064453125,0.0106,30-70,0-30,North Coast and Mountains,train
czulight_817_4,czulight,817,4,10760,178,0.65673828125,0.0165,30-70,0-30,North Coast and Mountains,train
northcomplex_1006_0,northcomplex,1006,0,15941,15941,0.97296142578125,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_1006_1,northcomplex,1006,1,16120,16120,0.98388671875,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_1006_3,northcomplex,1006,3,15041,15041,0.91802978515625,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_1006_4,northcomplex,1006,4,15571,15571,0.95037841796875,1.0,70-100,70-100,Sierra Nevada,train
czulight_618_0,czulight,618,0,14856,14493,0.90673828125,0.9756,70-100,70-100,North Coast and Mountains,train
czulight_618_3,czulight,618,3,15184,11095,0.9267578125,0.7307,70-100,70-100,North Coast and Mountains,train
czulight_618_4,czulight,618,4,15577,3915,0.95074462890625,0.2513,70-100,0-30,North Coast and Mountains,train
eldorado_147_0,eldorado,147,0,13381,0,0.81671142578125,0.0,70-100,0-30,South Coast and Mountains,train
ranch_1404_0,ranch,1404,0,12107,0,0.73895263671875,0.0,70-100,0-30,North Coast and Mountains,train
ranch_1404_1,ranch,1404,1,7461,0,0.45538330078125,0.0,30-70,0-30,North Coast and Mountains,train
ranch_1404_3,ranch,1404,3,10646,5,0.6497802734375,0.0005,30-70,0-30,North Coast and Mountains,train
ranch_1404_4,ranch,1404,4,12296,5,0.75048828125,0.0004,70-100,0-30,North Coast and Mountains,train
northcomplex_820_0,northcomplex,820,0,15849,15744,0.96734619140625,0.9934,70-100,70-100,Sierra Nevada,train
northcomplex_820_1,northcomplex,820,1,13889,13889,0.84771728515625,1.0,70-100,70-100,Sierra Nevada,train
northcomplex_820_3,northcomplex,820,3,15481,15347,0.94488525390625,0.9913,70-100,70-100,Sierra Nevada,train
northcomplex_820_4,northcomplex,820,4,15673,13631,0.95660400390625,0.8697,70-100,70-100,Sierra Nevada,train
creek_3378_0,creek,3378,0,7166,232,0.4373779296875,0.0324,30-70,0-30,Sierra Nevada,train
creek_3378_3,creek,3378,3,5308,216,0.323974609375,0.0407,30-70,0-30,Sierra Nevada,train
camp_1078_0,camp,1078,0,9258,8997,0.5650634765625,0.9718,30-70,70-100,Sierra Nevada,train
camp_1078_1,camp,1078,1,9506,5594,0.5802001953125,0.5885,30-70,30-70,Sierra Nevada,train
camp_1078_3,camp,1078,3,6684,6634,0.407958984375,0.9925,30-70,70-100,Sierra Nevada,train
camp_1078_4,camp,1078,4,8095,4386,0.49407958984375,0.5418,30-70,30-70,Sierra Nevada,train
stone_223_0,stone,223,0,5711,676,0.34857177734375,0.1184,30-70,0-30,North Coast and Mountains,train
stone_223_1,stone,223,1,3839,1986,0.23431396484375,0.5173,0-30,30-70,North Coast and Mountains,train
stone_223_3,stone,223,3,5094,1240,0.3109130859375,0.2434,30-70,0-30,North Coast and Mountains,train
stone_223_4,stone,223,4,6072,981,0.37060546875,0.1616,30-70,0-30,North Coast and Mountains,train
ranch_2333_0,ranch,2333,0,14685,4050,0.89630126953125,0.2758,70-100,0-30,North Coast and Mountains,train
